,OID,VxHx_left,VxHx_top,VxHx_right,VxHx_btm,Area_Hex,Autopista,Ferrocarril_Int_CONV,Ferrocarril_estr_vel_conv,Ferrocarril_int_AVE,Ferrocarril_vel_conv,Via calzada unica,Via doble calzada,Via doble preferente,Via unica preferente,Arboles aislados,Vertedero,arenas,bosque,humedal,pradera,roquerios,Inst_E.E,Inst_E.EO,Inst_E.HC,Inst_E.HE,Inst_E.NU,Inst_E.OF,Inst_E.SO,Inst_E.TM,Max_WSP,Min_WSP,Mean_WSP,Calz_km,Calz_cnt,TTE_cnt,LTE_km,LTE_cnt,NA_km2,Na_cnt,UA_km2,UA_cnt,Den_P,Pend_m,InEl_km2,Con_kWh_hex,Con_kWh_Mun,Centerpoint_X,Centerpoint_Y,Prediccion_Eolica
185,186,270551.8852,4551975.523,271706.5858,4550975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14524192469314767,0.29640835307299207,0.33385779796030723,0.0,0.0,0.0,0.0,0.0,0.3243144256851444,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.2299369154082793,0.0,6.221538230629659e-05,0.0023387023381090852,271129.2355,4551475.523,1
230,231,271417.9106,4559475.523,272572.6112,4558475.523,866025.45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1688055950837578,0.36096207363461774,0.35718534249066836,0.0,0.0,0.0,0.0,0.0,0.2465195797959689,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.25646149991319367,0.0,6.221538230629659e-05,0.0023387023381090852,271995.2609,4558975.523,1
231,232,271417.9106,4558475.523,272572.6112,4557475.523,866025.45,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18670772898319055,0.36045881155815485,0.3389437989051145,0.016054261317296162,0.0028653295128939827,0.0,0.0,0.0,0.11768645818823599,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.16301207130541706,0.0,6.221538230629659e-05,0.0023387023381090852,271995.2609,4557975.523,1
234,235,271417.9106,4555475.523,272572.6112,4554475.523,866025.45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19077352634674394,0.30163251259853063,0.31603396774096604,0.0,0.0,0.03389830508474576,0.1502309560095183,0.058823529411764705,0.08699735596988696,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.06571604392257237,0.0,6.221538230629659e-05,0.0023387023381090852,271995.2609,4554975.523,1
237,238,271417.9106,4552475.523,272572.6112,4551475.523,866025.45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1717634788616481,0.2919042692482483,0.31311338864795113,0.0,0.0,0.0,0.0,0.0,0.15485753115667805,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.1034251762773683,0.0,6.221538230629659e-05,0.0023387023381090852,271995.2609,4551975.523,1
238,239,271417.9106,4551475.523,272572.6112,4550475.523,866025.45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16827355756140883,0.2874144276084496,0.32668005119468635,0.0,0.0,0.0,0.0,0.0,0.14205636132351152,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.09022132271871684,0.0,6.221538230629659e-05,0.0023387023381090852,271995.2609,4550975.523,1
298,299,272283.9361,4549975.523,273438.6366,4548975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15978055465528695,0.3129475130207814,0.3328650701054072,0.0,0.0,0.0,0.0,0.0,0.15152881002744167,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.06759781571433639,0.0,6.221538230629659e-05,0.0023387023381090852,272861.28635,4549475.523,1
300,301,272283.9361,4547975.523,273438.6366,4546975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15969484218945207,0.3087800834993225,0.3266061102478943,0.0,0.0,0.01694915254237288,0.014299403396055687,0.058823529411764705,0.3552292001047168,0.3333333333333333,0.0,0.0,0.0002050020500205002,0.27759487124596194,0.0,5.262060381624741e-05,0.0006346889189015564,272861.28635,4547475.523,1
307,308,272283.9361,4540975.523,273438.6366,4539975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14275777317812255,0.31378487898914065,0.3206431496582718,0.0,0.0,0.0,0.0,0.0,0.38165519010917875,0.3333333333333333,0.0,0.0,0.00046125461254612545,0.2627283648445999,0.0,5.027197313418472e-05,0.0017730314366131688,272861.28635,4540475.523,1
314,315,272283.9361,4533975.523,273438.6366,4532975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23220315572224226,0.26530052686627703,0.315355459474842,0.0,0.0,0.0,0.0,0.0,0.28704875902537136,0.3333333333333333,0.0,0.0,0.00046125461254612545,0.17176513516219052,0.0,5.027197313418472e-05,0.0017730314366131688,272861.28635,4533475.523,1
